bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboortes_per_1000_inwoners,aantal_huishoudens,gemiddelde_huishoudsgrootte,woningvoorraad,gemiddelde_woningwaarde,personenautos_per_huishouden,motortweewielers_totaal,bouwjaarklasse_tot_2000,stadsdeel,buurtcode,buurtnaam
0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2,0,0.0,0,0,Westpoort,BU03631006,Afrikahaven
0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,1.8,2,0,0.0,5,0,Westpoort,BU03631007,Westhaven Zuid
22,10,10,5,0,0,0,0,0,0,0,0,0,0,5,1.1,9,0,0.0,20,0,Nieuw-West,BU03631100,Sloterdijk II
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,Nieuw-West,BU03631102,Sloterdijk III Oost
58,120,95,25,2,45,33,18,3,85,7,8,0,0,105,1.1,29,0,0.0,50,4,Nieuw-West,BU03631103,Sloterdijk III West
28,30,15,15,0,0,0,0,0,0,0,0,0,36,10,2.2,2,0,0.0,0,0,Nieuw-West,BU03631104,De Heining
820,695,410,285,1,35,61,3,0,94,5,1,0,3,615,1.1,605,134,1.9,10,175,Nieuw-West,BU03631105,Teleport
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.0,0,0,Nieuw-West,BU03631107,Bretten Oost
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,Nieuw-West,BU03631109,Bretten West
10117,3035,1555,1480,23,5,42,23,8,63,30,5,2,33,1365,2.2,1418,679,0.9,100,0,West,BU03631200,Houthavens West
32650,655,355,300,8,6,24,41,21,58,31,8,2,5,395,1.6,352,632,0.6,25,193,West,BU03631201,Houthavens Oost
22167,1995,980,1015,15,9,38,27,11,70,20,9,2,11,1060,1.7,1026,407,0.4,40,954,West,BU03631300,Zeeheldenbuurt
27030,2700,1355,1350,12,8,35,31,14,67,19,11,2,11,1675,1.6,1646,373,0.3,65,1646,West,BU03631301,Spaarndammerbuurt Noordoost
20660,1030,485,550,12,8,38,27,14,70,20,9,2,7,625,1.7,595,361,0.4,30,529,West,BU03631302,Spaarndammerbuurt Zuidoost
21350,1705,855,850,12,6,39,21,22,66,18,10,6,15,960,1.6,947,361,0.3,35,947,West,BU03631303,Spaarndammerbuurt Zuidwest
21017,1260,650,615,13,9,43,26,9,70,19,9,2,18,770,1.6,811,373,0.4,40,713,West,BU03631304,Spaarndammerbuurt Midden
16250,1950,965,985,13,8,42,27,10,68,19,11,2,14,1115,1.7,1077,410,0.4,50,1077,West,BU03631305,Spaarndammerbuurt Noordwest
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,West,BU03631306,Westergasfabriek
0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,1.3,6,0,0.0,0,0,West,BU03631307,Overbraker Binnenpolder
22900,1375,690,685,12,10,41,26,12,67,23,8,2,9,830,1.7,823,426,0.4,35,823,West,BU03631400,De Wittenbuurt Noord
21150,850,425,420,9,10,26,35,21,64,22,11,3,11,560,1.5,551,403,0.3,25,551,West,BU03631401,De Wittenbuurt Zuid
20267,1220,595,620,8,8,31,28,25,58,23,14,5,11,765,1.6,743,354,0.3,30,743,West,BU03631402,Staatsliedenbuurt Noordoost
36770,3675,1835,1840,11,8,46,28,8,76,16,7,1,14,2310,1.6,2329,358,0.3,105,2259,West,BU03631403,Fannius Scholtenbuurt
27660,2770,1370,1395,10,9,51,25,5,77,15,7,1,14,1745,1.6,1770,362,0.3,90,1716,West,BU03631404,Westerstaatsman
27536,3025,1515,1515,12,9,39,29,10,70,21,7,1,13,1680,1.8,1607,476,0.4,85,1060,West,BU03631405,Buyskade e.o.
21200,1270,600,670,13,15,22,39,11,62,28,9,2,6,610,2.1,602,502,0.3,25,602,West,BU03631500,Ecowijk
62,15,5,5,0,0,0,0,0,0,0,0,0,0,5,2.0,0,0,0.0,5,0,West,BU03631501,Markthallen
457,65,35,30,16,14,19,45,6,59,28,9,3,0,30,2.1,13,0,0.0,15,0,West,BU03631502,Bedrijvencentrum Westerkwartier
17750,1065,520,550,10,8,42,24,16,65,24,8,3,23,625,1.7,631,391,0.4,15,479,West,BU03631503,Marcanti
21400,3850,1845,2005,10,9,46,23,12,73,18,7,2,15,2360,1.6,2299,407,0.3,105,2276,West,BU03631600,Frederik Hendrikbuurt Noord
30009,3300,1770,1535,9,8,49,24,10,75,16,8,1,9,2095,1.5,2055,386,0.3,95,1870,West,BU03631601,Frederik Hendrikbuurt Zuidoost
18633,1115,565,550,9,8,30,33,19,62,25,9,4,6,680,1.6,771,448,0.4,40,678,West,BU03631602,Frederik Hendrikbuurt Zuidwest
21132,4650,2320,2330,9,9,46,23,13,72,19,7,2,15,2890,1.6,2689,491,0.3,140,2635,West,BU03631700,Da Costabuurt Noord
27210,2720,1450,1270,10,9,45,26,9,75,16,8,1,14,1445,1.7,1377,462,0.3,65,1349,West,BU03631800,Bellamybuurt Noord
25113,4015,1995,2025,11,9,51,21,8,75,16,7,1,16,2450,1.6,2446,409,0.3,115,2030,West,BU03631801,Bellamybuurt Zuid
32014,2245,1145,1095,8,11,52,21,8,78,16,5,1,8,1490,1.5,1466,419,0.3,50,1451,West,BU03631900,Da Costabuurt Zuid
25991,2860,1340,1515,10,9,30,28,23,61,22,12,5,9,1765,1.6,1720,354,0.3,50,1720,West,BU03631901,Borgerbuurt
30933,1860,950,910,9,8,46,26,10,74,16,9,1,13,1230,1.5,1222,385,0.3,40,1148,West,BU03631902,Lootsbuurt
25420,2540,1220,1325,12,12,44,23,10,71,22,5,1,17,1455,1.7,1389,643,0.4,80,1375,West,BU03632000,Helmersbuurt Oost
16294,2605,1320,1290,10,10,34,29,18,67,22,9,2,9,1655,1.6,1630,520,0.4,80,1483,West,BU03632001,WG-terrein
32957,2305,1130,1175,11,11,47,24,7,77,16,5,1,14,1400,1.7,1348,490,0.3,60,1348,West,BU03632002,Cremerbuurt Oost
28485,5695,2785,2905,10,9,52,21,8,75,18,6,1,14,3545,1.6,3382,463,0.3,150,3382,West,BU03632100,Cremerbuurt West
22240,2225,1045,1180,11,11,42,23,13,70,21,6,2,10,1260,1.7,1224,595,0.4,40,1199,West,BU03632101,Vondelparkbuurt West
6646,860,465,395,10,11,34,28,17,62,27,9,2,12,500,1.7,506,1066,0.6,25,506,West,BU03632200,Vondelparkbuurt Oost
10111,910,445,465,12,12,28,27,22,63,24,9,5,4,465,1.8,440,790,0.5,40,440,West,BU03632201,Vondelparkbuurt Midden
548,440,240,200,14,4,65,13,4,66,32,3,0,30,240,1.8,177,680,0.9,10,1,Zuid,BU03632300,Zuidas Noord
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.0,0,0,Zuid,BU03632301,RAI
264,120,70,50,14,13,50,15,8,77,18,3,1,8,85,1.4,37,540,0.5,0,37,Zuid,BU03632302,VU-kwartier
11036,2430,1330,1095,12,7,58,17,5,64,30,5,1,15,1415,1.7,1389,704,1.8,40,0,Zuid,BU03632303,Zuidas Zuid
3259,945,455,490,4,46,45,5,1,88,10,2,0,2,835,1.1,884,176,0.6,20,0,Zuid,BU03632304,Vivaldi
21567,2590,1320,1270,10,12,46,24,8,75,19,5,1,14,1600,1.6,1495,539,0.4,75,1480,Zuid,BU03632400,Hemonybuurt
19120,1910,995,915,8,11,46,23,12,72,18,8,2,14,1285,1.5,1296,468,0.2,40,1257,Zuid,BU03632401,Gerard Doubuurt
23764,2615,1300,1315,8,10,50,23,9,76,16,6,1,11,1725,1.5,1706,482,0.3,70,1671,Zuid,BU03632402,Frans Halsbuurt
32138,2570,1255,1315,8,12,50,20,10,77,15,7,1,10,1740,1.5,1670,408,0.2,60,1619,Zuid,BU03632403,Hercules Seghersbuurt
21500,4945,2495,2450,7,13,50,21,10,76,16,6,1,8,3300,1.5,3289,437,0.3,115,3223,Zuid,BU03632404,Sarphatiparkbuurt
23855,2625,1210,1415,7,11,45,21,16,69,18,9,4,9,1785,1.5,1790,412,0.3,60,1628,Zuid,BU03632500,Willibrordusbuurt
27793,3890,1935,1960,9,9,51,22,9,75,17,7,1,15,2495,1.6,2458,446,0.4,90,2187,Zuid,BU03632501,Van der Helstpleinbuurt
19533,2345,1135,1205,9,11,43,25,12,74,17,7,2,12,1425,1.6,1404,427,0.3,45,1404,Zuid,BU03632502,Lizzy Ansinghbuurt
23447,3515,1675,1845,9,10,49,21,12,73,18,7,2,13,2200,1.6,2149,439,0.3,75,2106,Zuid,BU03632503,Cornelis Troostbuurt
22036,3085,1495,1585,13,11,33,26,16,67,20,10,3,10,1775,1.7,1680,407,0.4,85,1680,Zuid,BU03632600,Diamantbuurt
23200,2785,1310,1475,10,10,36,27,17,65,20,11,3,8,1625,1.7,1626,409,0.3,60,1544,Zuid,BU03632601,Burgemeester Tellegenbuurt Oost
22100,2210,1045,1170,12,8,34,27,19,64,20,13,3,14,1335,1.7,1318,417,0.3,45,1318,Zuid,BU03632602,Burgemeester Tellegenbuurt West
16483,1980,1030,945,11,10,49,22,8,74,20,5,1,12,1195,1.7,1110,524,0.3,35,987,Oost,BU03632700,Swammerdambuurt
18144,3265,1630,1640,12,8,48,21,12,71,21,6,1,14,1900,1.7,1793,507,0.4,90,1613,Oost,BU03632701,Weesperzijde Midden/Zuid
9629,670,330,345,5,65,22,7,1,90,5,5,0,6,570,1.2,120,353,0.1,5,120,Oost,BU03632702,Parooldriehoek
17471,3670,1800,1870,8,10,46,23,13,71,19,8,2,11,2345,1.6,2282,399,0.3,95,1985,Oost,BU03632800,Oosterparkbuurt Noordwest
500,115,55,55,3,5,50,32,10,83,7,9,1,0,100,1.1,96,265,0.3,5,96,Oost,BU03632801,Oosterpark
23219,3715,1820,1895,13,10,40,25,13,67,23,7,3,13,2080,1.8,2039,460,0.4,75,2018,Oost,BU03632802,Oosterparkbuurt Zuidoost
26058,3125,1580,1545,13,10,39,25,12,68,20,10,2,12,1790,1.7,1796,407,0.3,50,1688,Oost,BU03632803,Oosterparkbuurt Zuidwest
21205,4240,2015,2220,11,11,40,23,16,67,20,10,3,10,2445,1.7,2416,398,0.3,65,2246,Oost,BU03632900,Dapperbuurt Noord
22035,3750,1850,1890,10,12,40,26,12,69,20,9,2,13,2270,1.6,2103,408,0.3,70,2018,Oost,BU03632901,Dapperbuurt Zuid
9355,2060,1025,1035,16,12,32,24,16,61,26,9,4,15,950,1.9,1008,515,0.5,25,262,Oost,BU03632902,Oostpoort
22517,4055,1970,2080,11,12,38,25,13,66,21,10,3,12,2285,1.8,2150,382,0.3,80,2107,Oost,BU03633000,Transvaalbuurt West
26574,5050,2470,2575,14,12,40,23,11,68,22,8,2,15,2665,1.9,2576,430,0.4,85,2421,Oost,BU03633001,Transvaalbuurt Oost
23165,3940,2020,1915,12,12,47,21,7,72,19,7,1,15,2340,1.7,2324,393,0.3,70,1975,Oost,BU03633100,Noordwestkwadrant Indische buurt Noord
30433,4565,2215,2350,11,13,47,21,9,73,18,7,2,14,2615,1.7,2417,384,0.3,125,2320,Oost,BU03633101,Noordwestkwadrant Indische buurt Zuid
25094,4015,1980,2035,14,13,35,24,14,61,26,10,3,11,2045,2.0,1964,356,0.4,65,1806,Oost,BU03633102,Zuidwestkwadrant Indische buurt
22177,5770,2880,2885,13,11,36,25,16,62,24,10,4,13,3130,1.8,3036,368,0.3,125,2823,Oost,BU03633200,Noordoostkwadrant Indische buurt
